firstname,lastname,grad_school,grad_school_code,highest_degree,grad_year,university,university_code,title,department
Skyla,Herod,Oregon Health and Science University,,Ph.D.,,Azusa Pacific University,,Associate Professor,Biology and Chemistry
Timothy,Heumier,"Montana State University, Billings",272.0,Ph.D.,,Azusa Pacific University,,Associate Professor,Mathematics and Physics
Kevin,Huang,University of California,,Ph.D.,2002,Azusa Pacific University,,Director of Undergraduate Research; Associate Professor,Biology and Chemistry
Christine,Kern,"University of Wisconsin, River Falls",19.0,Ph.D.,,Azusa Pacific University,,Associate Professor,English
Stephen,Lambert,California School of Professional Psychology,,Psy.D.,,Azusa Pacific University,,Associate Professor,Psychology
Simon,Lin,University of California,,Ph.D.,,Azusa Pacific University,,Associate Professor,Engineering & Computer Science
Adrien,Lowery,University of Southern California,4.0,Ph.D.,2001,Azusa Pacific University,,Associate Professor,English
Bryant,Mathews,University of California,,Ph.D.,,Azusa Pacific University,,Associate Professor,Mathematics and Physics
Bradley,McCoy,"University of Minnesota, Duluth",188.0,Ph.D.,2007,Azusa Pacific University,,Associate Professor,Mathematics and Physics
David,Miyahara,Stanford University,232.0,Ph.D.,,Azusa Pacific University,,Associate Professor,"Global Studies, Sociology, and TESOL"
Joshua,Morris,University of California,,Ph.D.,,Azusa Pacific University,,Associate Professor,Biology and Chemistry
Daniel,Pawley,University of Edinburgh,,Ph.D.,,Azusa Pacific University,,Associate Professor,Communication Studies
Carol,Peirce,Bowling Green University,,Ph.D.,,Azusa Pacific University,,Associate Professor,"Global Studies, Sociology, and TESOL"
Sarah,Richart,"Colorado State University, Fort Collins",164.0,Ph.D.,2001,Azusa Pacific University,,Associate Professor,Biology and Chemistry
Marcela,Rojas,University of California,,Ph.D.,,Azusa Pacific University,,Associate Professor,Modern Languages
César,Solórzano,University of California,,Ph.D.,2006,Azusa Pacific University,,Chair and Associate Professor,Modern Languages
Theodore,Szeto,University of California,,Ph.D.,,Azusa Pacific University,,Chair and Associate Professor,Mathematics and Physics
Willetta,Toole-Simms,Purdue University,185.0,Ph.D.,1988,Azusa Pacific University,,Associate Professor,Biology and Chemistry
Brooke,Dam,City University,,Ph.D.,,Azusa Pacific University,,Associate Professor,Communication Studies
Thomas,Walters,Stanford University,232.0,Ph.D.,,Azusa Pacific University,,Associate Professor,Biology and Chemistry
David,Williams,"University of Utah, Salt Lake",63.0,Ph.D.,,Azusa Pacific University,,Associate Professor of Philosophy,"Theology and Philosophy, High Sierra Campus"
Scott,Wood,Baylor College of Medicine,283.0,Ph.D.,,Azusa Pacific University,,Associate Professor,
Chong,Yu,Arizona State University,23.0,Ph.D.,,Azusa Pacific University,,Associate Professor,Psychology
Cristian,Aguilar,University of California,,Ph.D.,,Azusa Pacific University,,Assistant Professor,Biology and Chemistry
Starla,Anderson,Regent University,,JD,,Azusa Pacific University,,Assistant Professor,Communication Studies
Tasha,Bleistein,,,Ph.D.,,Azusa Pacific University,,Director,"Global Studies, Sociology, and TESOL"
Rachel,Castaneda,University of California,,Ph.D.,,Azusa Pacific University,,Assistant Professor,Psychology
Michael,Chamberlain,World Learning’s School for International Training,,M.A.,,Azusa Pacific University,,Assistant Director and Assistant Professor,"Global Studies, Sociology, and TESOL"
Enson,Chang,University of California,,Ph.D.,,Azusa Pacific University,,Assistant Professor,Mathematics and Physics
Charles,Chen,"University of Illinois, Springfield",125.0,Ph.D.,,Azusa Pacific University,,Assistant Professor,Biology and Chemistry
Priscila,Diaz,Arizona State University,23.0,Ph.D.,,Azusa Pacific University,,Assistant Professor,"Psychology, Director of Student Development"
Edwin,Ding,University of Washington,24.0,Ph.D.,,Azusa Pacific University,,Assistant Professor,Mathematics and Physics
Daniel,Grissom,University of California,,Ph.D.,,Azusa Pacific University,,Assistant Professor,Engineering and Computer Science
Juan,Guerrero,Biola University,,Ph.D.,,Azusa Pacific University,,Assistant Professor,Modern Languages
Verónica,Gutiérrez,,,Ph.D.,,Azusa Pacific University,,Assistant Professor of Latin American History,History and Political Science
Andre,Harmse,University of California,,Ph.D.,,Azusa Pacific University,,Assistant Professor,Mathematics and Physics
Kyle,Huckins,,,JOUR,,Azusa Pacific University,,Assistant Professor,Communication Studies
Douglas,Hume,Pepperdine University,,J.D.,,Azusa Pacific University,,Assistant Professor of Political Science and Pre-Law Advisor,
Amy,Jung,California State University,,M.A.,,Azusa Pacific University,,Director of Forensics; Assistant Professor,Communication Studies
Yun,Kim,University of California,,Ph.D.,,Azusa Pacific University,,Assistant Professor,Modern Languages
Joyce,Lacy,University of California,,Ph.D.,2012,Azusa Pacific University,,Assistant Professor,Psychology
David,Lambert,Claremont Graduate University,,Ph.D.,2008,Azusa Pacific University,,Assistant Professor,History and Political Science
Robert,Linsalato,Pepperdine University,,M.A.,,Azusa Pacific University,,Assistant Professor,Psychology
Katie,Manning,"University of Louisiana, Monroe",242.0,Ph.D.,2012,Azusa Pacific University,,Assistant Professor,English
Benjamin,Marsh,Claremont Graduate University,,Ph.D.,,Azusa Pacific University,,Assistant Professor,
Sharon,McCathern,University of Chicago,122.0,M.S.,,Azusa Pacific University,,Assistant Professor,Mathematics and Physics
Carrie,Miller,University of Notre Dame,116.0,Ph.D.,,Azusa Pacific University,,Assistant Professor,Biology and Chemistry
Ryan,Montague,"University of Missouri, St. Louis",158.0,Ph.D.,,Azusa Pacific University,,Assistant Professor,Communication Studies
Tolulope,Noah,University of Southern California,4.0,Ph.D.,,Azusa Pacific University,,Assistant Professor of Liberal Studies,
Ron,Norris,University of California,,B.A.,,Azusa Pacific University,,Assistant Professor,Biology and Chemistry
Gewn,Park,Inje University Paik Hospital,,Postdoctoral,,Azusa Pacific University,,Assistant Professor,Psychology
Megan,Prosser,,,Ph.D.,,Azusa Pacific University,,Assistant Professor,Biology and Chemistry
Marian,Saleh,Azusa Pacific University,,M.A.,,Azusa Pacific University,,Assistant Professor,Biology and Chemistry
Ethan,Schrum,University of Pennsylvania,,Ph.D.,,Azusa Pacific University,,Assistant Professor,History and Political Science
Abbylin,Sellers,,,Ph.D.,,Azusa Pacific University,,Assistant Professor,History and Political Science
Kristen,Sipper-Denlinger,University of Nottingham,,Ph.D.,2008,Azusa Pacific University,,Assistant Professor,English
Matthew,Smith,University of Southern California,4.0,Ph.D.,2012,Azusa Pacific University,,Assistant Professor,English
Caleb,Spencer,"University of Illinois, Springfield",125.0,Ph.D.,2011,Azusa Pacific University,,Assistant Professor,English
William,Whitney,Fuller Theological Seminary,,Ph.D.,,Azusa Pacific University,,Assistant Professor,Psychology
Jennifer,Young,"Texas A&M, International University",52.0,Ph.D.,,Azusa Pacific University,,Assistant Professor,Biology and Chemistry
David,Bicker,University of California,,Ph.D.,,Azusa Pacific University,,Professor Emeritus,Communication Studies
Ralph,Carlson,"University of Oregon, Eugene",146.0,Ph.D.,,Azusa Pacific University,,Professor Emeritus,English
David,Cherney,Bowling Green University,,Ph.D.,,Azusa Pacific University,,Professor Emeritus,Biology and Chemistry
Richard,Eckhart,Penn State University,,Ph.D.,,Azusa Pacific University,,Professor Emeritus,Engineering & Computer Science
James,Hedges,University of California,,Ph.D.,,Azusa Pacific University,,Professor Emeritus,English
James,White,University of the Pacific,,Ph.D.,,Azusa Pacific University,,Professor Emeritus,Biology and Chemistry
Gary,Wood,"Miami University, Ohio",174.0,M.S.,1969,Azusa Pacific University,,Professor Emeritus,Mathematics and Physics
June,Hamlow,California State University,,M.A.,,Azusa Pacific University,,Professor Emerita,Modern Languages
Susan,Clark,,,M.A.,,Azusa Pacific University,,Director,
Melissa,Barnes,,,Ph.D.,,Azusa Pacific University,,Lecturer,"Global Studies, Sociology, and TESOL"
Denzil,Barnett,,,M.A.,,Azusa Pacific University,,Instructor,"Global Studies, Sociology, and TESOL"
Gena,Bennett,,,Ph.D.,,Azusa Pacific University,,Lecturer,"Global Studies, Sociology, and TESOL"
Greg,Bock,,,Ph.D.,,Azusa Pacific University,,Lecturer,"Global Studies, Sociology, and TESOL"
Gail,Bouslough,Claremont Graduate University,,Ph.D.,,Azusa Pacific University,,Lecturer,English
Elizabeth,Fang,,,TESL,,Azusa Pacific University,,Lecturer,"Global Studies, Sociology, and TESOL"
Denise,Gehring,Drexel University,,M.S.,,Azusa Pacific University,,Assistant Professor,"Global Studies, Sociology, and TESOL"
Piljoo,Kang,University of California,,Ph.D.,,Azusa Pacific University,,Lecturer,Psychology
Abby,Kleier,,,TESL,,Azusa Pacific University,,Lecturer,"Global Studies, Sociology, and TESOL"
Adam,Lipson,,,M.A.,,Azusa Pacific University,,Executive Director; Office of the Regional Centers; Lecturer,Communication Studies
Nancy,Lyons,,,MBA,,Azusa Pacific University,,Lecturer,Mathematics and Physics
Linda,McAnnally,,,M.A.,,Azusa Pacific University,,Lecturer,"Global Studies, Sociology, and TESOL"
Brian,Plummer,Claremont Graduate University,,Ph.D.,,Azusa Pacific University,,Lecturer,History and Political Science
Elizabeth,Rivas,University of Southern California,4.0,M.A.,,Azusa Pacific University,,Instructor,Mathematic and Physics
Stephanie,Sanford,,,M.A.,,Azusa Pacific University,,Lecturer,"Global Studies, Sociology, and TESOL"
Jennifer,Thomas,Azusa Pacific University,,M.A.,,Azusa Pacific University,,Assistant Professor,"Global Studies, Sociology, and TESOL"
Rodney,Ulrich,Azusa Pacific University,,M.S.,2002,Azusa Pacific University,,Lecturer/Lab Manager,Engineering & Computer Science and APS
James,Aksel,Azusa Pacific University,,M.S.,,Azusa Pacific University,,Adjunct Professor,Engineering & Computer Science
Hau-Ming,Chau,Fuller Theological Seminary (in progress),,Ph.D.,,Azusa Pacific University,,Adjunct Professor,Engineering & Computer Science
Daniel,Horner,Azusa Pacific University,,M.S.,,Azusa Pacific University,,Adjunct Professor,Engineering & Computer Science
Shawna,Lafreniere,Azusa Pacific University,,Ph.D.,,Azusa Pacific University,,Director of Curricular Effectiveness; Adjunct Professor,"Communication Studies, M.A. in Leadership Program, Leadership Minor"
Manar,Metry,,,M.A.,2008,Azusa Pacific University,,Program Coordinator; Adjunct Professor,"Global Studies, Sociology, and TESOL"
Michael,Robbins,,,ALNG,,Azusa Pacific University,,Adjunct Professor,Biblical and Religious Studies and High Sierra Semester
